famous_spot,famous_hotel,price_per_room,category,weather,route,budget_per_day
Ansoo Lake,Ansoo Lake Resort,5000,Lake,Cold,Naran to Ansoo Lake,10000
Astola Island,Astola Island Resort,5500,Island,Hot,Gwadar to Astola Island,12000
Attabad Lake,Attabad Lake Resort,4500,Lake,Cool,Gilgit to Attabad Lake,9000
Badshahi Mosque,Badshahi Mosque Hotel,4000,Mosque,Moderate,Lahore to Badshahi Mosque,8000
Baltoro Glacier,Baltoro Glacier Resort,5500,Mountainous,Cold,Skardu to Baltoro Glacier,11000
Bhurban,Bhurban Resort,5000,Hill Station,Cool,Murree to Bhurban,10000
Bruti Waterfall Islamabad,Bruti Waterfall Resort,4500,Waterfall,Moderate,Islamabad to Bruti Waterfall Islamabad,9000
Concordia,Concordia Resort,5500,Mountainous,Cold,Skardu to Concordia,11000
Deosai National Park,Deosai National Park Resort,5000,National Park,Cool,Skardu to Deosai National Park,10000
Derawar Fort,Derawar Fort Resort,4500,Fort,Hot,Bahawalpur to Derawar Fort,9000
Dhanni Waterfall,Dhanni Waterfall Resort,4000,Waterfall,Moderate,Muzaffarabad to Dhanni Waterfall,8000
Emperor's Mosque,Emperor's Mosque Hotel,5500,Mosque,Moderate,Lahore to Emperor's Mosque,11000
Fairy Meadows,Fairy Meadows Resort,5000,National Park,Cold,Raikot Bridge to Fairy Meadows,10000
Faisal Mosque,Faisal Mosque Hotel,4500,Mosque,Moderate,Islamabad to Faisal Mosque,9000
Farphu Waterfall,Farphu Waterfall Resort,4000,Waterfall,Cool,Gilgit to Farphu Waterfall,8000
Gawadar,Gawadar Beach Resort,5500,Coastal,Hot,Karachi to Gawadar,11000
Gojal Valley,Gojal Valley Resort,5000,Valley,Cool,Gilgit to Gojal Valley,10000
Gorakh Hill,Gorakh Hill Resort,4500,Hill Station,Cool,Karachi to Gorakh Hill,9000
Gulpur Mahuli Waterfalls,Gulpur Mahuli Waterfalls Resort,4000,Waterfall,Moderate,Muzaffarabad to Gulpur Mahuli Waterfalls,8000
Hingol National Park,Hingol National Park Resort,5500,National Park,Hot,Karachi to Hingol National Park,11000
Hunza Valley,Hunza Valley Resort,5000,Valley,Cool,Gilgit to Hunza Valley,10000
Indus Kohistan,Indus Kohistan Resort,4500,Mountainous,Cold,Chilas to Indus Kohistan,9000
Jahaz Banda Kumrat Valley,Jahaz Banda Kumrat Valley Resort,4000,Waterfall,Moderate,Swat to Jahaz Banda Kumrat Valley,8000
Kalam Valley,Kalam Valley Resort,5500,Valley,Cool,Swat to Kalam Valley,11000
Kalash,Kalash Resort,5000,Valley,Cool,Chitral to Kalash,10000
Kanhatti Gardens,Kanhatti Gardens Resort,4500,Waterfall,Moderate,Rawalpindi to Kanhatti Gardens,9000
Karambar Lake,Karambar Lake Resort,4000,Lake,Cool,Ishkoman Valley to Karambar Lake,8000
Katasraj Temple,Katasraj Temple Hotel,5500,Temple,Moderate,Chakwal to Katasraj Temple,11000
Khewra Salt Mine,Khewra Salt Mine Resort,5000,Mine,Moderate,Jhelum to Khewra Salt Mine,10000
